#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#
#	###############
#	# Input Files #
#	###############
#
#	[Input_Files]
#
#	psm{Run1} = sipNew/Pan_052322_X1.psm.txt
#
#	pep{Run1} = sipNew/Pan_052322_X1.pep.txt
#
#	########################
#	# Filtering Parameters #
#	########################
#
#	[Protein_Identification]
#
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 1
#
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#
#	#######################
#	# Statistical Results #
#	#######################
#
#	[Statistical_Results]
#
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 72
#	Target_Proteins_Before_Filtering = 1196
#	Total_Proteins_Before_Filtering = 1268
#
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 71
#	Target_Proteins_After_Filtering = 1183
#	Total_Proteins_After_Filtering = 1254
#
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.0566188197767
#
#	################
#	# Column Names #
#	################
#
#	[Column_Names]
#
#	+ = Marker of a protein line
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#
#	* = Marker of a PSM line
#	Filename = Filename of input FT2 file
#	ScanNumber = Scan number of the PSM
#	ParentCharge = Charge state of the PSM
#	MeasuredParentMass = Measured parent mass
#	CalculatedParentMass = Calculated parent mass from peptide sequence
#	MassErrorDa = Mass error in Da with 1-Da error correction
#	MassErrorPPM = Mass error in PPM with 1-Da error correction
#	ScanType = Scan type of the PSM
#	SearchName = Sipros search name
#	ScoringFunction = Scoring function used in the search
#	Score = Score
#	DeltaZ = Difference between the best PSM and the next best PSM of this scan
#	DeltaP = Difference between the best modified PSM and its PTM isoform
#	IdentifiedPeptide = Identified peptide sequence with potential PTMs and mutations
#	OriginalPeptide = Original peptide sequence in the FASTA file
#	ProteinNames = Names of proteins of the peptide
#	ProteinCount = Number of proteins that the peptide can be assigned to
#	TargetMatch = T for target match and F for decoy match
#
	ProteinID	AverageEnrichmentLevel	StandardDeviation	UniqueSpectrumCounts	TotalSpectrumCounts	EnrichmentLevels	ProteinDescription
+	{sp|Q47147|YAFJ_ECOLI}	52000	0	1	1	{52000}	{sp|Q47147|YAFJ_ECOLI Putative glutamine amidotransferase YafJ OS=Escherichia coli (strain K12) OX=83333 GN=yafJ PE=1 SV=1}
+	{sp|P0AC02|BAMD_ECOLI}	43000	0	1	1	{43000}	{sp|P0AC02|BAMD_ECOLI Outer membrane protein assembly factor BamD OS=Escherichia coli (strain K12) OX=83333 GN=bamD PE=1 SV=1}
+	{sp|P0A912|PAL_ECOLI}	50000	0	1	1	{50000}	{sp|P0A912|PAL_ECOLI Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) OX=83333 GN=pal PE=1 SV=1}
+	{sp|P0A7J3|RL10_ECOLI}	46000	0	9	9	{46000,46000,46000,46000,46000,46000,46000,46000,46000}	{sp|P0A7J3|RL10_ECOLI 50S ribosomal protein L10 OS=Escherichia coli (strain K12) OX=83333 GN=rplJ PE=1 SV=2}
+	{sp|P0A862|TPX_ECOLI}	40000	0	1	1	{40000}	{sp|P0A862|TPX_ECOLI Thiol peroxidase OS=Escherichia coli (strain K12) OX=83333 GN=tpx PE=1 SV=2}
+	{sp|P31678|OTSB_ECOLI}	54000	0	3	3	{54000,54000,54000}	{sp|P31678|OTSB_ECOLI Trehalose-6-phosphate phosphatase OS=Escherichia coli (strain K12) OX=83333 GN=otsB PE=1 SV=2}
+	{sp|P35340|AHPF_ECOLI}	51000	0	2	2	{51000,51000}	{sp|P35340|AHPF_ECOLI Alkyl hydroperoxide reductase subunit F OS=Escherichia coli (strain K12) OX=83333 GN=ahpF PE=1 SV=2}
+	{sp|P0A8D6|YMDB_ECOLI}	48000	0	1	1	{48000}	{sp|P0A8D6|YMDB_ECOLI O-acetyl-ADP-ribose deacetylase OS=Escherichia coli (strain K12) OX=83333 GN=ymdB PE=1 SV=1}
+	{sp|P0A7W1|RS5_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P0A7W1|RS5_ECOLI 30S ribosomal protein S5 OS=Escherichia coli (strain K12) OX=83333 GN=rpsE PE=1 SV=2}
+	{sp|P0A7R1|RL9_ECOLI}	53000	0	9	9	{53000,53000,53000,53000,53000,53000,53000,53000,53000}	{sp|P0A7R1|RL9_ECOLI 50S ribosomal protein L9 OS=Escherichia coli (strain K12) OX=83333 GN=rplI PE=1 SV=1}
+	{sp|P0AFK9|POTD_ECOLI}	48000	0	7	7	{48000,48000,48000,48000,48000,48000,48000}	{sp|P0AFK9|POTD_ECOLI Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=potD PE=1 SV=1}
+	{sp|P23845|CYSN_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P23845|CYSN_ECOLI Sulfate adenylyltransferase subunit 1 OS=Escherichia coli (strain K12) OX=83333 GN=cysN PE=1 SV=1}
+	{sp|P0ACB2|HEM2_ECOLI}	55000	0	1	1	{55000}	{sp|P0ACB2|HEM2_ECOLI Delta-aminolevulinic acid dehydratase OS=Escherichia coli (strain K12) OX=83333 GN=hemB PE=1 SV=2}
+	{sp|P0AC41|SDHA_ECOLI}	48000	0	7	7	{48000,48000,48000,48000,48000,48000,48000}	{sp|P0AC41|SDHA_ECOLI Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=sdhA PE=1 SV=1}
+	{sp|P0A7G6|RECA_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P0A7G6|RECA_ECOLI Protein RecA OS=Escherichia coli (strain K12) OX=83333 GN=recA PE=1 SV=2}
+	{sp|P0A8G6|NQOR_ECOLI}	46000	0	2	2	{46000,46000}	{sp|P0A8G6|NQOR_ECOLI NAD(P)H dehydrogenase (quinone) OS=Escherichia coli (strain K12) OX=83333 GN=wrbA PE=1 SV=2}
+	{sp|P68767|AMPA_ECOLI}	48000	0	1	1	{48000}	{sp|P68767|AMPA_ECOLI Cytosol aminopeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepA PE=1 SV=1}
+	{sp|P0A9H1|MUG_ECOLI}	46000	0	1	1	{46000}	{sp|P0A9H1|MUG_ECOLI G/U mismatch-specific DNA glycosylase OS=Escherichia coli (strain K12) OX=83333 GN=mug PE=1 SV=1}
+	{sp|P21513|RNE_ECOLI}	42000	0	1	1	{42000}	{sp|P21513|RNE_ECOLI Ribonuclease E OS=Escherichia coli (strain K12) OX=83333 GN=rne PE=1 SV=6}
+	{sp|P0ABU2|YCHF_ECOLI}	49000	0	2	2	{49000,49000}	{sp|P0ABU2|YCHF_ECOLI Ribosome-binding ATPase YchF OS=Escherichia coli (strain K12) OX=83333 GN=ychF PE=1 SV=2}
+	{sp|P0A799|PGK_ECOLI}	48000	0	28	28	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A799|PGK_ECOLI Phosphoglycerate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pgk PE=1 SV=2}
+	{sp|P0AAI3|FTSH_ECOLI}	41000	0	2	2	{41000,41000}	{sp|P0AAI3|FTSH_ECOLI ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) OX=83333 GN=ftsH PE=1 SV=1}
+	{sp|P0A7J7|RL11_ECOLI}	50000	0	4	4	{50000,50000,50000,50000}	{sp|P0A7J7|RL11_ECOLI 50S ribosomal protein L11 OS=Escherichia coli (strain K12) OX=83333 GN=rplK PE=1 SV=2}
+	{sp|P45470|YHBO_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P45470|YHBO_ECOLI Protein/nucleic acid deglycase 2 OS=Escherichia coli (strain K12) OX=83333 GN=yhbO PE=1 SV=2}
+	{sp|P0A8F0|UPP_ECOLI}	51000	0	4	4	{51000,51000,51000,51000}	{sp|P0A8F0|UPP_ECOLI Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=upp PE=1 SV=1}
+	{sp|P11446|ARGC_ECOLI}	53000	0	2	2	{53000,53000}	{sp|P11446|ARGC_ECOLI N-acetyl-gamma-glutamyl-phosphate reductase OS=Escherichia coli (strain K12) OX=83333 GN=argC PE=1 SV=1}
+	{sp|P69811|PTFAH_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P69811|PTFAH_ECOLI Multiphosphoryl transfer protein OS=Escherichia coli (strain K12) OX=83333 GN=fruB PE=1 SV=1}
+	{sp|P21507|SRMB_ECOLI}	54000	0	1	1	{54000}	{sp|P21507|SRMB_ECOLI ATP-dependent RNA helicase SrmB OS=Escherichia coli (strain K12) OX=83333 GN=srmB PE=1 SV=1}
+	{sp|P0A6R0|FABH_ECOLI}	53000	0	9	9	{53000,53000,53000,53000,53000,53000,53000,53000,53000}	{sp|P0A6R0|FABH_ECOLI Beta-ketoacyl-[acyl-carrier-protein] synthase III OS=Escherichia coli (strain K12) OX=83333 GN=fabH PE=1 SV=1}
+	{sp|P13035|GLPD_ECOLI}	59000	0	2	2	{59000,59000}	{sp|P13035|GLPD_ECOLI Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=glpD PE=1 SV=3}
+	{sp|P0A8N3|SYK1_ECOLI}	47000	0	6	9	{47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0A8N3|SYK1_ECOLI Lysine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=lysS PE=1 SV=2}
+	{sp|P09373|PFLB_ECOLI}	56000	0	4	5	{56000,56000,56000,56000,56000}	{sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=pflB PE=1 SV=2}
+	{sp|P23538|PPSA_ECOLI}	56000	0	1	1	{56000}	{sp|P23538|PPSA_ECOLI Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) OX=83333 GN=ppsA PE=1 SV=5}
+	{sp|P0AB71|ALF_ECOLI}	43000	0	2	2	{43000,43000}	{sp|P0AB71|ALF_ECOLI Fructose-bisphosphate aldolase class 2 OS=Escherichia coli (strain K12) OX=83333 GN=fbaA PE=1 SV=2}
+	{sp|P0CE47|EFTU1_ECOLI,sp|P0CE48|EFTU2_ECOLI}	47000	0	46	46	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0CE47|EFTU1_ECOLI Elongation factor Tu 1 OS=Escherichia coli (strain K12) OX=83333 GN=tufA PE=1 SV=1,sp|P0CE48|EFTU2_ECOLI Elongation factor Tu 2 OS=Escherichia coli (strain K12) OX=83333 GN=tufB PE=1 SV=1}
+	{sp|P23893|GSA_ECOLI}	43000	0	2	2	{43000,43000}	{sp|P23893|GSA_ECOLI Glutamate-1-semialdehyde 2,1-aminomutase OS=Escherichia coli (strain K12) OX=83333 GN=hemL PE=1 SV=2}
+	{sp|P0AEY5|MDAB_ECOLI}	49000	0	1	1	{49000}	{sp|P0AEY5|MDAB_ECOLI NADPH:quinone oxidoreductase MdaB OS=Escherichia coli (strain K12) OX=83333 GN=mdaB PE=1 SV=1}
+	{sp|P0A6Y5|HSLO_ECOLI}	50000	0	1	1	{50000}	{sp|P0A6Y5|HSLO_ECOLI 33 kDa chaperonin OS=Escherichia coli (strain K12) OX=83333 GN=hslO PE=1 SV=1}
+	{sp|P64604|MLAD_ECOLI}	55000	0	1	1	{55000}	{sp|P64604|MLAD_ECOLI Intermembrane phospholipid transport system binding protein MlaD OS=Escherichia coli (strain K12) OX=83333 GN=mlaD PE=1 SV=1}
+	{sp|P0AB28|YCED_ECOLI}	47000	0	1	1	{47000}	{sp|P0AB28|YCED_ECOLI Large ribosomal RNA subunit accumulation protein YceD OS=Escherichia coli (strain K12) OX=83333 GN=yceD PE=2 SV=1}
+	{sp|P0A796|PFKA_ECOLI}	56000	0	1	1	{56000}	{sp|P0A796|PFKA_ECOLI ATP-dependent 6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) OX=83333 GN=pfkA PE=1 SV=1}
+	{sp|P0A8W2|SLYA_ECOLI}	50000	0	1	1	{50000}	{sp|P0A8W2|SLYA_ECOLI Transcriptional regulator SlyA OS=Escherichia coli (strain K12) OX=83333 GN=slyA PE=3 SV=1}
+	{sp|P37744|RMLA1_ECOLI}	49000	0	7	8	{49000,49000,49000,49000,49000,49000,49000,49000}	{sp|P37744|RMLA1_ECOLI Glucose-1-phosphate thymidylyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=rfbA PE=1 SV=2}
+	{sp|P0A903|BAMC_ECOLI}	49000	0	3	3	{49000,49000,49000}	{sp|P0A903|BAMC_ECOLI Outer membrane protein assembly factor BamC OS=Escherichia coli (strain K12) OX=83333 GN=bamC PE=1 SV=1}
+	{sp|P0A7K6|RL19_ECOLI}	54000	0	2	2	{54000,54000}	{sp|P0A7K6|RL19_ECOLI 50S ribosomal protein L19 OS=Escherichia coli (strain K12) OX=83333 GN=rplS PE=1 SV=2}
+	{sp|P0AA10|RL13_ECOLI}	57000	0	1	1	{57000}	{sp|P0AA10|RL13_ECOLI 50S ribosomal protein L13 OS=Escherichia coli (strain K12) OX=83333 GN=rplM PE=1 SV=1}
+	{sp|P13009|METH_ECOLI}	57000	0	1	1	{57000}	{sp|P13009|METH_ECOLI Methionine synthase OS=Escherichia coli (strain K12) OX=83333 GN=metH PE=1 SV=5}
+	{sp|P10378|ENTE_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P10378|ENTE_ECOLI Enterobactin synthase component E OS=Escherichia coli (strain K12) OX=83333 GN=entE PE=1 SV=3}
+	{sp|P76034|YCIT_ECOLI}	55000	0	2	2	{55000,55000}	{sp|P76034|YCIT_ECOLI Uncharacterized HTH-type transcriptional regulator YciT OS=Escherichia coli (strain K12) OX=83333 GN=yciT PE=4 SV=1}
+	{sp|P0ADB1|OSME_ECOLI}	49000	0	7	7	{49000,49000,49000,49000,49000,49000,49000}	{sp|P0ADB1|OSME_ECOLI Osmotically-inducible putative lipoprotein OsmE OS=Escherichia coli (strain K12) OX=83333 GN=osmE PE=2 SV=1}
+	{sp|P0A9P0|DLDH_ECOLI}	61000	0	1	1	{61000}	{sp|P0A9P0|DLDH_ECOLI Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=lpdA PE=1 SV=2}
+	{sp|P0A9V1|LPTB_ECOLI}	45000	0	1	1	{45000}	{sp|P0A9V1|LPTB_ECOLI Lipopolysaccharide export system ATP-binding protein LptB OS=Escherichia coli (strain K12) OX=83333 GN=lptB PE=1 SV=2}
+	{sp|P68919|RL25_ECOLI}	45000	0	1	1	{45000}	{sp|P68919|RL25_ECOLI 50S ribosomal protein L25 OS=Escherichia coli (strain K12) OX=83333 GN=rplY PE=1 SV=1}
+	{sp|P77689|SUFD_ECOLI}	47000	0	6	6	{47000,47000,47000,47000,47000,47000}	{sp|P77689|SUFD_ECOLI FeS cluster assembly protein SufD OS=Escherichia coli (strain K12) OX=83333 GN=sufD PE=1 SV=1}
+	{sp|P36659|CBPA_ECOLI}	46000	0	1	1	{46000}	{sp|P36659|CBPA_ECOLI Curved DNA-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=cbpA PE=1 SV=2}
+	{sp|P0AD12|YEEZ_ECOLI}	49000	0	1	1	{49000}	{sp|P0AD12|YEEZ_ECOLI Protein YeeZ OS=Escherichia coli (strain K12) OX=83333 GN=yeeZ PE=1 SV=1}
+	{sp|P0ACF8|HNS_ECOLI}	47000	0	10	10	{47000,47000,47000,47000,47000,47000,47000,47000,47000,47000}	{sp|P0ACF8|HNS_ECOLI DNA-binding protein H-NS OS=Escherichia coli (strain K12) OX=83333 GN=hns PE=1 SV=2}
+	{sp|P31133|POTF_ECOLI}	44000	0	1	1	{44000}	{sp|P31133|POTF_ECOLI Putrescine-binding periplasmic protein PotF OS=Escherichia coli (strain K12) OX=83333 GN=potF PE=1 SV=3}
+	{sp|P0A9Q5|ACCD_ECOLI}	54000	0	4	4	{54000,54000,54000,54000}	{sp|P0A9Q5|ACCD_ECOLI Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Escherichia coli (strain K12) OX=83333 GN=accD PE=1 SV=1}
+	{sp|P37637|MDTF_ECOLI}	40000	0	2	2	{40000,40000}	{sp|P37637|MDTF_ECOLI Multidrug resistance protein MdtF OS=Escherichia coli (strain K12) OX=83333 GN=mdtF PE=1 SV=1}
+	{sp|P76116|YNCE_ECOLI}	44000	0	3	3	{44000,44000,44000}	{sp|P76116|YNCE_ECOLI Uncharacterized protein YncE OS=Escherichia coli (strain K12) OX=83333 GN=yncE PE=1 SV=1}
+	{sp|P77444|SUFS_ECOLI}	59000	0	1	1	{59000}	{sp|P77444|SUFS_ECOLI Cysteine desulfurase OS=Escherichia coli (strain K12) OX=83333 GN=sufS PE=1 SV=1}
+	{sp|P22106|ASNB_ECOLI}	58000	0	1	1	{58000}	{sp|P22106|ASNB_ECOLI Asparagine synthetase B [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) OX=83333 GN=asnB PE=1 SV=3}
+	{sp|P0A8F0|UPP_ECOLI}	50000	0	4	4	{50000,50000,50000,50000}	{sp|P0A8F0|UPP_ECOLI Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=upp PE=1 SV=1}
+	{sp|P0AES9|HDEA_ECOLI}	54000	0	1	1	{54000}	{sp|P0AES9|HDEA_ECOLI Acid stress chaperone HdeA OS=Escherichia coli (strain K12) OX=83333 GN=hdeA PE=1 SV=1}
+	{sp|P0ADG7|IMDH_ECOLI}	48000	0	10	10	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0ADG7|IMDH_ECOLI Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1}
+	{sp|P0ABJ1|CYOA_ECOLI}	49000	0	2	2	{49000,49000}	{sp|P0ABJ1|CYOA_ECOLI Cytochrome bo(3) ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) OX=83333 GN=cyoA PE=1 SV=1}
+	{sp|P0A8M3|SYT_ECOLI}	55000	0	2	2	{55000,55000}	{sp|P0A8M3|SYT_ECOLI Threonine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=thrS PE=1 SV=1}
+	{sp|P0A6R0|FABH_ECOLI}	42000	0	1	1	{42000}	{sp|P0A6R0|FABH_ECOLI Beta-ketoacyl-[acyl-carrier-protein] synthase III OS=Escherichia coli (strain K12) OX=83333 GN=fabH PE=1 SV=1}
+	{sp|P16700|CYSP_ECOLI}	48000	0	5	5	{48000,48000,48000,48000,48000}	{sp|P16700|CYSP_ECOLI Thiosulfate-binding protein OS=Escherichia coli (strain K12) OX=83333 GN=cysP PE=1 SV=1}
+	{sp|P0A8G6|NQOR_ECOLI}	48000	0	10	10	{48000,48000,48000,48000,48000,48000,48000,48000,48000,48000}	{sp|P0A8G6|NQOR_ECOLI NAD(P)H dehydrogenase (quinone) OS=Escherichia coli (strain K12) OX=83333 GN=wrbA PE=1 SV=2}
+	{sp|P09424|MTLD_ECOLI}	48000	0	2	2	{48000,48000}	{sp|P09424|MTLD_ECOLI Mannitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=mtlD PE=1 SV=3}
+	{sp|P0A8F0|UPP_ECOLI}	63000	0	1	1	{63000}	{sp|P0A8F0|UPP_ECOLI Uracil phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=upp PE=1 SV=1}
+	{sp|P0ADG7|IMDH_ECOLI}	46000	0	7	7	{46000,46000,46000,46000,46000,46000,46000}	{sp|P0ADG7|IMDH_ECOLI Inosine-5'-monophosphate dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=guaB PE=1 SV=1}
+	{sp|P0A6D7|AROK_ECOLI}	50000	0	2	2	{50000,50000}	{sp|P0A6D7|AROK_ECOLI Shikimate kinase 1 OS=Escherichia coli (strain K12) OX=83333 GN=aroK PE=1 SV=2}
+	{sp|P0A9C3|GALM_ECOLI}	45000	0	2	2	{45000,45000}	{sp|P0A9C3|GALM_ECOLI Aldose 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=galM PE=1 SV=1}
+	{sp|P33570|TKT2_ECOLI}	63000	0	2	2	{63000,63000}	{sp|P33570|TKT2_ECOLI Transketolase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tktB PE=1 SV=1}
+	{sp|P64429|YPFJ_ECOLI}	56000	0	2	2	{56000,56000}	{sp|P64429|YPFJ_ECOLI Uncharacterized protein YpfJ OS=Escherichia coli (strain K12) OX=83333 GN=ypfJ PE=4 SV=1}
+	{sp|P0AGE4|SSTT_ECOLI}	52000	0	1	1	{52000}	{sp|P0AGE4|SSTT_ECOLI Serine/threonine transporter SstT OS=Escherichia coli (strain K12) OX=83333 GN=sstT PE=1 SV=1}
+	{sp|P0ACB0|DNAB_ECOLI}	46000	0	1	1	{46000}	{sp|P0ACB0|DNAB_ECOLI Replicative DNA helicase OS=Escherichia coli (strain K12) OX=83333 GN=dnaB PE=1 SV=1}
+	{sp|P25553|ALDA_ECOLI}	58000	0	1	1	{58000}	{sp|P25553|ALDA_ECOLI Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=aldA PE=1 SV=2}
+	{sp|P76558|MAO2_ECOLI}	46000	0	1	1	{46000}	{sp|P76558|MAO2_ECOLI NADP-dependent malic enzyme OS=Escherichia coli (strain K12) OX=83333 GN=maeB PE=1 SV=1}
+	{sp|P0A6W9|GSH1_ECOLI}	52000	0	2	2	{52000,52000}	{sp|P0A6W9|GSH1_ECOLI Glutamate--cysteine ligase OS=Escherichia coli (strain K12) OX=83333 GN=gshA PE=1 SV=1}
+	{sp|P0A6F9|CH10_ECOLI}	56000	0	9	9	{56000,56000,56000,56000,56000,56000,56000,56000,56000}	{sp|P0A6F9|CH10_ECOLI Co-chaperonin GroES OS=Escherichia coli (strain K12) OX=83333 GN=groES PE=1 SV=1}
